Serevent Diskus	salmeterol xinafoate inhalation powder		5152	http://www.fda.gov/medwatch/SAFETY/2008/Mar_PI/SereventDiskus_PI.pdf	2008_-_Mar_PI_-_SereventDiskus_PI
Serevent Diskus	salmeterol xinafoate inhalation powder		5152	http://www.fda.gov/medwatch/SAFETY/2006/Mar PIs/Serevent_PI.pdf	2006_-_Mar PIs_-_Serevent_PI
Serevent Diskus	salmeterol xinafoate inhalation powder		5152	http://www.fda.gov/medwatch/SAFETY/2004/sep_PI/Serevent_Diskus_PI.pdf	2004_-_sep_PI_-_Serevent_Diskus_PI
Serevent Diskus	salmeterol xinafoate inhalation powder		5152	http://www.fda.gov/cder/foi/label/2003/20692slr024_serevent_lbl.pdf	20692slr024_serevent_lbl
Serevent Diskus	salmeterol xinafoate inhalation powder		5152	http://www.fda.gov/cder/foi/label/2002/20692s16lbl.pdf	20692s16lbl
NuvaRing	etonogestrel/ethinyl estradiol vaginal ring	combination		http://www.fda.gov/medwatch/SAFETY/2008/Apr_PI/NuvaRing_PI.pdf	2008_-_Apr_PI_-_NuvaRing_PI
Femring	estradiol acetate vaginal ring		450	http://www.fda.gov/medwatch/SAFETY/2007/Feb_PI/Femring_PI.pdf	2007_-_Feb_PI_-_Femring_PI
Femring	estradiol acetate vaginal ring		450	http://www.fda.gov/medwatch/SAFETY/2005/Mar_PI/Femring_PI.pdf	2005_-_Mar_PI_-_Femring_PI
Femring	estradiol acetate vaginal ring		450	http://www.fda.gov/cder/foi/label/2003/21367_femring_lbl.pdf	21367_femring_lbl
Cleocin	clindamycin phosphate vaginal cream		2786	http://www.fda.gov/medwatch/SAFETY/2003/03AUG_PI/Cleocin_PI.pdf	2003_-_03AUG_PI_-_Cleocin_PI
ACULAR LS	ketorolac tromethamine		3826	http://www.fda.gov/cder/foi/label/2003/21528_acular_lbl.pdf	21528_acular_lbl
Bactrim	sulfamethoxale and trimethoprim DS [double strength] Tablets and Tablets, USP	combination		http://www.fda.gov/medwatch/SAFETY/2007/Jun_PI/Bactrim_PI.pdf	2007_-_Jun_PI_-_Bactrim_PI
Bactrim	sulfamethoxazole and trimethoprim	combination		http://www.fda.gov/medwatch/SAFETY/2003/03Feb_PI/Bactrim_PI.pdf	2003_-_03Feb_PI_-_Bactrim_PI
Solag&eacute;	mequinol 2%, tretinoin 0.01%	combination		http://www.fda.gov/medwatch/SAFETY/2007/Apr_PI/Solage_PI.pdf	2007_-_Apr_PI_-_Solage_PI
Combipatch	estradiol/norethindrone acetate transdermal system	combination		http://www.fda.gov/medwatch/SAFETY/2005/Jan_PI/Combipatch_PI.pdf	2005_-_Jan_PI_-_Combipatch_PI
