-4095	C0043096	methadone	weight loss
-4095	C0043094	methadone	weight gain
-4095	C0080274	methadone	urinary retention
-4095	C0030252	methadone	palpitations
-4095	C0009806	methadone	constipation
-4095	C0030552	methadone	weakness
-4095	C0878544	methadone	cardiomyopathy
-4095	C0085631	methadone	agitation
-4095	C0041834	methadone	erythema
-4095	C0015967	methadone	fever
-4095	C0162297	methadone	respiratory arrest
-4095	C0018801	methadone	heart failure
-4095	C0002453	methadone	amenorrhea
-4095	C0220870	methadone	lightheadedness
-4095	C0040034	methadone	thrombocytopenia
-4095	C0009676	methadone	confusion
-4095	C0013604	methadone	edema
-4095	C0012833	methadone	dizziness
-4095	C0033774	methadone	pruritus
-4095	C0152032	methadone	urinary hesitancy
-4095	C0018524	methadone	hallucinations
-4095	C0018790	methadone	cardiac arrest
-4095	C0042109	methadone	urticaria
-4095	C0042514	methadone	ventricular tachycardia
-4095	C0043352	methadone	dry mouth
-4095	C0000737	methadone	abdominal pain
-4095	C0042510	methadone	ventricular fibrillation
-4095	C0151723	methadone	hypomagnesemia
-4095	C1260880	methadone	rhinorrhea
-4095	C0038999	methadone	swelling
-4095	C0003811	methadone	arrhythmia
-4095	C0039231	methadone	tachycardia
-4095	C0917801	methadone	insomnia
-4095	C0038990	methadone	sweating
-4095	C0004093	methadone	asthenia
-4095	C0011991	methadone	diarrhea
-4095	C0042963	methadone	vomiting
-4095	C0003467	methadone	anxiety
-4095	C0036572	methadone	seizures
-4095	C0037383	methadone	sneezing
-4095	C0037763	methadone	spasm
-4095	C0031542	methadone	phlebitis
-4095	C0034063	methadone	pulmonary edema
-4095	C1510472	methadone	drug dependence
-4095	C0011124	methadone	decreased libido
-4095	C0027497	methadone	nausea
-4095	C0003123	methadone	anorexia
-4095	C0040822	methadone	tremor
-4095	C0428977	methadone	bradycardia
-4095	C0039070	methadone	syncope
-4095	C0019189	methadone	chronic hepatitis
-4095	C0020621	methadone	hypokalemia
-4095	C0017675	methadone	glossitis
-4095	C0020649	methadone	hypotension
