10926s030lbl	C0233485	apprehension
21086lbl	C0564408	manic
019430s044lbl	C0233485	apprehension
21200lbl	C0022107	irritable
07935s030lbl	C0233485	apprehension
021200s014lbl	C0022107	irritable
020717s020s013s018lbl	C0013144	sleepiness
011909s036lbl	C0003467	anxiety
011909s038lbl	C0003467	anxiety
21299lbl	C0233477	dysphoric mood
21299lbl	C0085631	psychomotor agitation
21299lbl	C0233481	worry
21299lbl	C0012833	dizzy
21299lbl	C0220870	lightheaded
21299lbl	C0011551	depersonalization
021866s2s3,021729s2,021713s10,021436s16lbl	C0564408	manic
021866s2s3,021729s2,021713s10,021436s16lbl	C0085631	Agitation
021866s2s3,021729s2,021713s10,021436s16lbl	C0085631	agitation
021866s2s3,021729s2,021713s10,021436s16lbl	C0085631	Psychomotor agitation
021866s2s3,021729s2,021713s10,021436s16lbl	C0085631	agitated
21323lbl	C0233477	dysphoric mood
21323lbl	C0344315	depressed mood
21323lbl	C0085631	psychomotor agitation
021713s004,021436s007lbl	C0564408	manic
21427lbl	C0233477	dysphoric mood
21427lbl	C0344315	depressed mood
21427lbl	C0085631	psychomotor agitation
021430s000,020785s031lbl	C0013144	Drowsiness
021430s000,020785s031lbl	C0013144	Somnolence
021430s000,020785s031lbl	C0013144	drowsiness
021430s000,020785s031lbl	C0013144	somnolence
021430s000,020785s031lbl	C0012833	Dizziness
021430s000,020785s031lbl	C0012833	dizziness
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0233477	dysphoric mood
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0344315	depressed mood
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0085631	psychomotor agitation
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0003467	Anxiety
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0003467	anxiety
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0233481	worry
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0085631	restlessness
21323se1-003,se8-007,21365se8-001,se1-004_lexapro_lbl	C0022107	irritability
20785slr022,023,024_thalomid_lbl	C0013144	Drowsiness
20785slr022,023,024_thalomid_lbl	C0013144	Somnolence
20785slr022,023,024_thalomid_lbl	C0013144	drowsiness
20785slr022,023,024_thalomid_lbl	C0013144	somnolence
20785slr022,023,024_thalomid_lbl	C0012833	Dizziness
20785slr022,023,024_thalomid_lbl	C0012833	dizziness
016832s022_017703s018lbl	C0085633	emotional lability
21733lbl	C0233477	dysphoric mood
21733lbl	C0344315	depressed mood
21733lbl	C0085631	psychomotor agitation
018140s028lbl	C0013144	sleepiness
018140s028lbl	C0013144	drowsiness
018140s028lbl	C0003467	anxiety
018936s064lbl	C0233477	dysphoric mood
018936s064lbl	C0344315	depressed mood
018936s064lbl	C0085631	psychomotor agitation
018936s064lbl	C0233481	worry
018936s064lbl	C0012833	dizzy
018936s064lbl	C0220870	lightheaded
018936s076lbl	C0233477	dysphoric mood
018936s076lbl	C0344315	depressed mood
018936s076lbl	C0085631	psychomotor agitation
018936s076lbl	C0233481	worry
018936s076lbl	C0012833	dizzy
018936s076lbl	C0220870	lightheaded
018936s083,020101s038,021235s010lbl	C0233477	dysphoric mood
018936s083,020101s038,021235s010lbl	C0344315	depressed mood
018936s083,020101s038,021235s010lbl	C0085631	psychomotor agitation
018936s083,020101s038,021235s010lbl	C0233481	worry
018936s083,020101s038,021235s010lbl	C0012833	dizzy
018936s083,020101s038,021235s010lbl	C0220870	lightheaded
018936s086lbl	C0344315	depressed mood
018936s086lbl	C0003467	anxiety
